2015-05-03	72	40	94	2	24	0.4	113
2015-05-04	66	23	65	4	20	0.3	119
2015-05-05	72	43	94	7	37	0.5	114
2015-05-06	60	19	70	3	24	0.3	100
2015-05-07	89	42	129	6	37	0.6	119
2015-05-08	83	52	115	11	37	1	119
2015-05-09	55	39	52	7	33	1	100
2015-05-10	49	34	35	4	46	1.3	46
2015-05-11	42	24	20	2	30	0.8	84
2015-05-12	54	19	44	2	41	0.5	105
2015-05-13	98	57	133	4	66	0.8	158
2015-05-14	57	20	62	5	29	0.3	108
2015-05-15	67	23	47	3	26	0.4	120
2015-05-16	116	46	96	8	43	0.7	178
2015-05-17	166	126	182	15	43	1.2	165
2015-05-18	75	55	93	3	33	0.5	105
2015-05-19	49	11	49	2	16	0.3	93
2015-05-20	63	16	37	2	22	0.3	116
2015-05-21	91	33	84	6	43	0.5	149
2015-05-22	137	52	89	12	41	0.8	201
2015-05-23	179	95	139	16	53	1	244
2015-05-24	178	115	164	16	56	1.2	243
2015-05-25	203	101	166	24	47	1.2	281
2015-05-26	191	87	149	19	38	0.9	256
2015-05-27	160	92	141	11	33	0.9	225
2015-05-28	151	116	151	23	36	1.2	197
2015-05-29	104	61	94	5	42	0.8	164
2015-05-30	136	54	90	6	39	0.8	200
2015-05-31	153	55	102	15	44	0.9	218
2015-06-01	159	88	166	14	46	1	224
2015-06-02	103	30	63	4	26	0.5	163
2015-06-03	75	32	101	6	36	0.5	128
2015-06-04	70	51	90	7	55	3.4	96
2015-06-05	68	49	52	5	45	6.8	65
2015-06-06	79	25	62	3	32	5	135
2015-06-07	43	14	32	4	30	2.6	86
2015-06-08	69	18	35	4	35	0.5	123
2015-06-09	134	49	87	15	49	1.1	197
2015-06-10	100	75	74	4	34	1.1	154
2015-06-11	48	20	25	3	21	0.6	96
2015-06-12	44	8	22	3	22	0.4	87
2015-06-13	65	11	27	3	18	0.4	118
2015-06-14	98	19	37	3	29	0.5	158
2015-06-15	166	85	121	15	40	1.2	231
2015-06-16	177	104	144	12	50	1.2	242
2015-06-17	126	42	67	3	36	0.8	189
2015-06-18	53	19	32	2	28	0.5	103
